preOrder: 
[5, 0, 0, 32, 5, 5, 5, 5]
[5, 0, 0, 16, 1, 0, 0, 1]
[1, 0, 0, 8, 0, 0, 0, 0]
[0, 0, 8, 8, 0, 0, 0, 0]
[0, 8, 0, 8, 0, 0, 0, 0]
[1, 8, 8, 8, 0, 0, 0, 0]
[5, 0, 16, 16, 1, 0, 0, 0]
[1, 0, 16, 8, 0, 0, 0, 0]
[0, 0, 24, 8, 0, 0, 0, 0]
[0, 8, 16, 8, 0, 0, 0, 0]
[0, 8, 24, 8, 0, 0, 0, 0]
[5, 16, 0, 16, 1, 0, 0, 0]
[1, 16, 0, 8, 0, 0, 0, 0]
[0, 16, 8, 8, 0, 0, 0, 0]
[0, 24, 0, 8, 0, 0, 0, 0]
[0, 24, 8, 8, 0, 0, 0, 0]
[5, 16, 16, 16, 0, 5, 0, 0]
[0, 16, 16, 8, 0, 0, 0, 0]
[5, 16, 24, 8, 0, 0, 1, 0]
[0, 16, 24, 4, 0, 0, 0, 0]
[0, 16, 28, 4, 0, 0, 0, 0]
[1, 20, 24, 4, 0, 0, 0, 0]
[0, 20, 28, 4, 0, 0, 0, 0]
[0, 24, 16, 8, 0, 0, 0, 0]
[0, 24, 24, 8, 0, 0, 0, 0]
postOrder: 
[5, 0, 0, 16, 1, 0, 0, 1]
[1, 0, 0, 8, 0, 0, 0, 0]
[0, 0, 8, 8, 0, 0, 0, 0]
[0, 8, 0, 8, 0, 0, 0, 0]
[1, 8, 8, 8, 0, 0, 0, 0]
[5, 0, 16, 16, 1, 0, 0, 0]
[1, 0, 16, 8, 0, 0, 0, 0]
[0, 0, 24, 8, 0, 0, 0, 0]
[0, 8, 16, 8, 0, 0, 0, 0]
[0, 8, 24, 8, 0, 0, 0, 0]
[5, 16, 0, 16, 1, 0, 0, 0]
[1, 16, 0, 8, 0, 0, 0, 0]
[0, 16, 8, 8, 0, 0, 0, 0]
[0, 24, 0, 8, 0, 0, 0, 0]
[0, 24, 8, 8, 0, 0, 0, 0]
[5, 16, 16, 16, 0, 5, 0, 0]
[0, 16, 16, 8, 0, 0, 0, 0]
[5, 16, 24, 8, 0, 0, 1, 0]
[0, 16, 24, 4, 0, 0, 0, 0]
[0, 16, 28, 4, 0, 0, 0, 0]
[1, 20, 24, 4, 0, 0, 0, 0]
[0, 20, 28, 4, 0, 0, 0, 0]
[0, 24, 16, 8, 0, 0, 0, 0]
[0, 24, 24, 8, 0, 0, 0, 0]
[5, 0, 0, 32, 5, 5, 5, 5]
